# Satellite telemetry export
# Exported at 2026-05-31T20:50:36.681Z
# Samples: 887
# Columns: time	estimatorMethod	x	y	z	qx	qy	qz	qw	omegaX	omegaY	omegaZ	Bx	By	Bz	I_Xp	I_Xm	I_Yp	I_Ym	I_Zp	I_Zm	altitudeKm	semiMajorAxisKm	eccentricity	inclinationDeg	raanDeg	argPeriapsisDeg	meanAnomalyDeg	trueAnomalyDeg	trueAnomalyRad	meanMotionRadPerS	orbitalSpeedKmPerS	radiusKm	periodSeconds	qErrorAngleDeg
331.0265	panels	6421.6501668572255	1742.2941378067535	1742.2941378067535	0	0	0.8796927645534601	0.47554246917840104	0	0	0.5	27023.53011695317	-3713.011272214866	-2486.2718197180775	166.54942905210694	0	0	649.2994783779201	1141.90401349168	0	500	6878.137	0	45	0	0	20.99172119412705	20.99172119412705	0.36637465049819273	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	151.1769878901494
0	panels	6878.137	0	0	0	0	2.8888844710514573e-9	1	0	0	0.5	10806.078663192846	21526.984205200737	-1622.821490406921	452.0807512029312	0	494.9638590401141	0	1141.8488738644016	0	500	6878.137	0	45	0	0	0	0	0	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	117.09090365657343
0.1	panels	6878.136957872456	0.5382926850812865	0.5382926850812865	0	0	0.024997398721357453	0.9996875162055219	0	0	0.5	11863.542909443204	20963.635042144124	-1621.1764173424585	476.25363237598594	0	471.7506688187245	0	1141.8488918139485	0	500	6878.137	0	45	0	0	0.006341402030993614	0.006341402030993614	0.00011067834463349407	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	127.5472632357856
0.2	panels	6878.136831489826	1.076585363568651	1.076585363568651	0	0	0.04997917199343172	0.998750260258715	0	0	0.5	12891.71576774091	20348.37987398869	-1619.5321764865876	499.2361281068959	0	447.358349417331	0	1141.8489097628392	0	500	6878.137	0	45	0	0	0.012682804061987228	0.012682804061987228	0.00022135668926698813	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	138.75450761549564
0.3	panels	6878.136620852111	1.614878028868173	1.614878028868173	0	0	0.07492970991010567	0.9971888179140336	0	0	0.5	13888.051407706342	19682.7380291017	-1617.8887682742952	520.9707942148654	0	421.84786889836784	0	1141.8489277111075	0	500	6878.137	0	45	0	0	0.019024206092980847	0.019024206092980847	0.00033203503390048225	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	151.72318114105707
0.4	panels	6878.136325959314	2.153170674385929	2.153170674385929	0	0	0.09983341919745795	0.9950041650221093	0	0	0.5	14850.082630452063	18968.353600338574	-1616.246193140432	541.4033054418919	0	395.2829901402188	0	1141.8489456586988	0	500	6878.137	0	45	0	0	0.025365608123974457	0.025365608123974457	0.00044271337853397626	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	164.73135452354558
0.5	panels	6878.135946811438	2.691463293527999	2.691463293527999	0	0	0.12467473584793595	0.9921976669198771	0	0	0.5	15775.426977876661	18206.991383906057	-1614.6044515197295	560.4825912367045	0	367.7301114634859	0	1141.8489636056463	0	500	6878.137	0	45	0	0	0.031707010154968074	0.031707010154968074	0.0005533917231674703	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	176.68443716917696
0.6	panels	6878.135483408488	3.229755879700463	3.229755879700463	0	0	0.14943813484735402	0.9887710775772844	0	0	0.5	16661.792632610424	17400.53251933101	-1612.9635438467885	578.1609634048574	0	339.2581006697493	0	1141.8489815519513	0	500	6878.137	0	45	0	0	0.03804841218596169	0.03804841218596169	0.0006640700678009644	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	172.61700616966868
0.7	panels	6878.13493575047	3.7680484263093983	3.7680484263093983	0	0	0.17410813987752163	0.9847265385011159	0	0	0.5	17506.984094002397	16550.96984130754	-1611.323470556082	594.3942353039389	0	309.93812290808347	0	1141.848999497593	0	500	6878.137	0	45	0	0	0.0443898142169553	0.0443898142169553	0.0007747484124344585	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	164.18492333259425
0.8	panels	6878.134303837389	4.306340926760886	4.306340926760886	0	0	0.19866933298843856	0.9800665773966221	0	0	0.5	18308.90761609259	15660.40295490855	-1609.684232081945	609.1418322870097	0	279.8434627993987	0	1141.8490174426006	0	500	6878.137	0	45	0	0	0.05073121624794891	0.05073121624794891	0.0008854267570679524	0.0011067834463349407	7.612608173223869	6878.137	5676.9780285258585	159.40856297655
